videogames,videogamesLabel,fictionalUniverseLabel,followsLabel,followedByLabel,basedOnLabel
http://www.wikidata.org/entity/Q940755,The Adventures of Robin Hood,,,,
http://www.wikidata.org/entity/Q933535,Wild Arms 5,,,,
http://www.wikidata.org/entity/Q933822,Kettō Transformers Beast Wars: Beast Senshi Saikyō Ketteisen,,,,
http://www.wikidata.org/entity/Q936273,Lemmings Revolution,,,,
http://www.wikidata.org/entity/Q940720,Retro Game Challenge,,,,
http://www.wikidata.org/entity/Q943546,Spyro: A Hero's Tail,,,,
http://www.wikidata.org/entity/Q943849,Hostile Waters: Antaeus Rising,,,,
http://www.wikidata.org/entity/Q944401,Japan Pro Golf Tour 64,,,,
http://www.wikidata.org/entity/Q947239,Doraemon: Giga Zombie no Gyakushū,,,,
http://www.wikidata.org/entity/Q928987,Strike Commander,,,,
http://www.wikidata.org/entity/Q935001,Meikyuu Jiin Dababa,,,,
http://www.wikidata.org/entity/Q936272,Dance Dance Revolution: Mario Mix,,,,
http://www.wikidata.org/entity/Q939597,Mega Lo Mania,,,,
http://www.wikidata.org/entity/Q929820,Illbleed,,,,
http://www.wikidata.org/entity/Q933680,Who Shot Johnny Rock?,,,,
http://www.wikidata.org/entity/Q939924,A.S.P. Air Strike Patrol,,,,
http://www.wikidata.org/entity/Q943377,Spyro: Enter the Dragonfly,,,,
http://www.wikidata.org/entity/Q945371,Wave Race: Blue Storm,,,,
http://www.wikidata.org/entity/Q938641,Kingdom Hearts 358/2 Days,Universe of Kingdom Hearts,,,
http://www.wikidata.org/entity/Q933328,DuckTales,,,DuckTales 2,DuckTales
http://www.wikidata.org/entity/Q948821,The Sims Castaway Stories,,The Sims Pet Stories,,
http://www.wikidata.org/entity/Q931353,Lost in Shadow,,,,
http://www.wikidata.org/entity/Q934720,WWE SmackDown! vs. Raw,,,,
http://www.wikidata.org/entity/Q937383,Fear Effect,,,,
http://www.wikidata.org/entity/Q940664,Castlevania: Lords of Shadow,,,,
http://www.wikidata.org/entity/Q940775,Kingdoms of Amalur: Reckoning,,,,
http://www.wikidata.org/entity/Q928874,RollerCoaster Tycoon 2,,RollerCoaster Tycoon,RollerCoaster Tycoon 3,
http://www.wikidata.org/entity/Q932113,Medal of Honor: Airborne,,Medal of Honor: Vanguard,Medal of Honor: Heroes 2,
http://www.wikidata.org/entity/Q942390,MediEvil,,,MediEvil 2,
http://www.wikidata.org/entity/Q944463,MediEvil 2,,MediEvil,,
http://www.wikidata.org/entity/Q930248,The Sims Life Stories,,,The Sims Pet Stories,
http://www.wikidata.org/entity/Q948180,Serious Sam: The First Encounter,,,Serious Sam 2,
http://www.wikidata.org/entity/Q935083,Ben 10 Ultimate Alien: Cosmic Destruction,,,,
http://www.wikidata.org/entity/Q936413,Donkey Kong Jungle Beat,,,,
http://www.wikidata.org/entity/Q936565,Acme Animation Factory,,,,
http://www.wikidata.org/entity/Q943073,Tribes Aerial Assault,,,,
http://www.wikidata.org/entity/Q946149,RPM Tuning,,,,
http://www.wikidata.org/entity/Q949730,Worms 3D,,,,
http://www.wikidata.org/entity/Q949134,Guitar Hero: Warriors of Rock,,Guitar Hero 5,Guitar Hero Live,
http://www.wikidata.org/entity/Q930682,Stranded,,,Stranded 2,
http://www.wikidata.org/entity/Q930283,Lost Secret of the Rainforest,,,,
http://www.wikidata.org/entity/Q938696,Murder on the Mississippi,,,,
http://www.wikidata.org/entity/Q938935,Silent Hill: Homecoming,,,,
http://www.wikidata.org/entity/Q942162,The Feeble Files,,,,
http://www.wikidata.org/entity/Q943549,Special Operation 85: Hostage Rescue,,,,
http://www.wikidata.org/entity/Q943787,Spyro: Shadow Legacy,,,,
http://www.wikidata.org/entity/Q933890,Rage,,,Rage 2,
http://www.wikidata.org/entity/Q944320,Gran Turismo,,,Gran Turismo 2,
http://www.wikidata.org/entity/Q945822,Aliens Versus Predator: Extinction,Alien-Predator universe,Aliens versus Predator 2,Aliens vs. Predator: Requiem (video game),
http://www.wikidata.org/entity/Q936968,The Operative: No One Lives Forever,,,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,
http://www.wikidata.org/entity/Q935970,Wakfu,Krosmoz,,,
http://www.wikidata.org/entity/Q939806,Resident Evil 6,Resident Evil universe,,,
http://www.wikidata.org/entity/Q932349,Medal of Honor: Pacific Assault,,Medal of Honor: Infiltrator,Medal of Honor: European Assault,
http://www.wikidata.org/entity/Q939837,Syphon Filter,,,Syphon Filter 2,
http://www.wikidata.org/entity/Q936657,Star Trek: Starfleet Command,Star Trek multiverse,,,
http://www.wikidata.org/entity/Q945340,Call of Cthulhu: Dark Corners of the Earth,,,Call of Cthulhu: Destiny's End,
http://www.wikidata.org/entity/Q936011,DoDonPachi Dai-Ou-Jou,,,DoDonPachi,
http://www.wikidata.org/entity/Q932788,Two Worlds II,,Two Worlds,,
http://www.wikidata.org/entity/Q933524,Pilotwings 64,,Pilotwings,Pilotwings Resort,
http://www.wikidata.org/entity/Q947420,Revelations: Persona,,,Persona 2: Innocent Sin,
http://www.wikidata.org/entity/Q939500,Might & Magic Heroes VI,,Heroes of Might and Magic V,,
http://www.wikidata.org/entity/Q939588,The Walking Dead,The Walking Dead universe,,The Walking Dead: Season Two,The Walking Dead
http://www.wikidata.org/entity/Q931737,Thief: The Dark Project,,,Thief II,
http://www.wikidata.org/entity/Q944752,Fable,,,Fable II,
http://www.wikidata.org/entity/Q946795,Max Payne 2: The Fall of Max Payne,,Max Payne,Max Payne 3,
http://www.wikidata.org/entity/Q936786,Teenage Mutant Ninja Turtles II: Back from the Sewers,Teenage Mutant Ninja Turtles universe,,,Teenage Mutant Ninja Turtles
http://www.wikidata.org/entity/Q932493,Road Rash,,,,Road Rash
