videogames,videogamesLabel,gameModeLabel
http://www.wikidata.org/entity/Q54331,Return of the Jedi: Death Star Battle,single-player video game
http://www.wikidata.org/entity/Q54335,Super Star Wars: Return of the Jedi,single-player video game
http://www.wikidata.org/entity/Q54307,Star Wars Rogue Squadron II: Rogue Leader,single-player video game
http://www.wikidata.org/entity/Q54323,Star Wars Arcade,single-player video game
http://www.wikidata.org/entity/Q54842,Star Wars Episode I: Obi-Wan's Adventures,single-player video game
http://www.wikidata.org/entity/Q54325,Star Wars: The Empire Strikes Back (1982 video game),multiplayer video game
http://www.wikidata.org/entity/Q54846,Star Wars: Episode III – Revenge of the Sith (video game),multiplayer video game
http://www.wikidata.org/entity/Q54845,Star Wars: The New Droid Army,multiplayer video game
http://www.wikidata.org/entity/Q54850,Star Wars: The Clone Wars – Republic Heroes,multiplayer video game
http://www.wikidata.org/entity/Q54325,Star Wars: The Empire Strikes Back (1982 video game),single-player video game
http://www.wikidata.org/entity/Q54843,Star Wars: Obi-Wan,multiplayer video game
http://www.wikidata.org/entity/Q52058,The Neverhood,single-player video game
http://www.wikidata.org/entity/Q54297,Star Wars: Rogue Squadron,single-player video game
http://www.wikidata.org/entity/Q54846,Star Wars: Episode III – Revenge of the Sith (video game),single-player video game
http://www.wikidata.org/entity/Q54844,Star Wars: Episode II – Attack of the Clones (video game),single-player video game
http://www.wikidata.org/entity/Q54845,Star Wars: The New Droid Army,single-player video game
http://www.wikidata.org/entity/Q54850,Star Wars: The Clone Wars – Republic Heroes,single-player video game
http://www.wikidata.org/entity/Q53362,Bakemonogatari,
http://www.wikidata.org/entity/Q54304,Star Wars Rogue Squadron III: Rebel Strike,multiplayer video game
http://www.wikidata.org/entity/Q54327,Star Wars: The Empire Strikes Back (1985 video game),single-player video game
http://www.wikidata.org/entity/Q54338,Star Wars: Episode I – The Phantom Menace (video game),single-player video game
http://www.wikidata.org/entity/Q54840,Star Wars Episode I: Battle for Naboo,single-player video game
http://www.wikidata.org/entity/Q54847,Star Wars: The Clone Wars – Lightsaber Duels,single-player video game
http://www.wikidata.org/entity/Q54856,Star Wars Trilogy: Apprentice of the Force,single-player video game
http://www.wikidata.org/entity/Q54853,Star Wars: X-Wing,single-player video game
http://www.wikidata.org/entity/Q49607,The Elder Scrolls IV: Oblivion,single-player video game
http://www.wikidata.org/entity/Q54843,Star Wars: Obi-Wan,single-player video game
http://www.wikidata.org/entity/Q50035,Nyaruko: Crawling with Love,
http://www.wikidata.org/entity/Q54332,Star Wars: Return of the Jedi: Ewok Adventure,
http://www.wikidata.org/entity/Q52053,Star Heritage 1: The Black Cobra,single-player video game
http://www.wikidata.org/entity/Q54304,Star Wars Rogue Squadron III: Rebel Strike,single-player video game
http://www.wikidata.org/entity/Q54330,Super Star Wars: The Empire Strikes Back,single-player video game
http://www.wikidata.org/entity/Q54329,Star Wars: The Empire Strikes Back (1992 video game),single-player video game
http://www.wikidata.org/entity/Q54854,Angry Birds Star Wars,
http://www.wikidata.org/entity/Q54848,Star Wars: The Clone Wars – Jedi Alliance,
http://www.wikidata.org/entity/Q49740,Minecraft,multiplayer video game
http://www.wikidata.org/entity/Q54304,Star Wars Rogue Squadron III: Rebel Strike,cooperative gameplay
http://www.wikidata.org/entity/Q48721,Curiosity – What's Inside the Cube?,multiplayer video game
http://www.wikidata.org/entity/Q54839,Star Wars Episode I: Jedi Power Battles,multiplayer video game
http://www.wikidata.org/entity/Q54859,Star Wars: Battlefront (2004 video game),multiplayer video game
http://www.wikidata.org/entity/Q54319,Star Wars,single-player video game
http://www.wikidata.org/entity/Q54317,Star Wars,single-player video game
http://www.wikidata.org/entity/Q54320,Star Wars,single-player video game
http://www.wikidata.org/entity/Q48251,AntMe!,
http://www.wikidata.org/entity/Q54322,Super Star Wars,single-player video game
http://www.wikidata.org/entity/Q45028,Halo 4,multiplayer video game
http://www.wikidata.org/entity/Q49740,Minecraft,single-player video game
http://www.wikidata.org/entity/Q54334,Star Wars: Return of the Jedi (video game),single-player video game
http://www.wikidata.org/entity/Q54839,Star Wars Episode I: Jedi Power Battles,single-player video game
http://www.wikidata.org/entity/Q54859,Star Wars: Battlefront (2004 video game),single-player video game
http://www.wikidata.org/entity/Q54323,Star Wars Arcade,multiplayer video game
http://www.wikidata.org/entity/Q54851,Clone Wars Adventures,multiplayer video game
http://www.wikidata.org/entity/Q54839,Star Wars Episode I: Jedi Power Battles,cooperative gameplay
http://www.wikidata.org/entity/Q211858,DK King of Swing,multiplayer video game
http://www.wikidata.org/entity/Q216293,Pong,
http://www.wikidata.org/entity/Q219743,OGame,multiplayer video game
http://www.wikidata.org/entity/Q222473,Hearts of Iron III,multiplayer video game
http://www.wikidata.org/entity/Q215861,S.T.A.L.K.E.R.: Shadow of Chernobyl,single-player video game
http://www.wikidata.org/entity/Q245749,The Darkness II,multiplayer video game
http://www.wikidata.org/entity/Q246220,Zzyzzyxx,multiplayer video game
http://www.wikidata.org/entity/Q247161,Dynasty Warriors 5,multiplayer video game
http://www.wikidata.org/entity/Q217638,Project Snowblind,single-player video game
http://www.wikidata.org/entity/Q219804,Zombies Ate My Neighbors,single-player video game
http://www.wikidata.org/entity/Q220365,Need for Speed: Most Wanted (2005 video game),single-player video game
http://www.wikidata.org/entity/Q226805,Torchlight II,single-player video game
http://www.wikidata.org/entity/Q229648,3 Skulls of the Toltecs,single-player video game
http://www.wikidata.org/entity/Q239288,StarCraft II: Wings of Liberty,single-player video game
http://www.wikidata.org/entity/Q219804,Zombies Ate My Neighbors,cooperative gameplay
http://www.wikidata.org/entity/Q226805,Torchlight II,cooperative gameplay
http://www.wikidata.org/entity/Q211096,Call of Duty,multiplayer video game
http://www.wikidata.org/entity/Q217423,Quake,multiplayer video game
http://www.wikidata.org/entity/Q239201,Sub Command,multiplayer video game
http://www.wikidata.org/entity/Q221164,Fallout 3,single-player video game
http://www.wikidata.org/entity/Q223629,Half-Life 2: Lost Coast,single-player video game
http://www.wikidata.org/entity/Q245754,Zynaps,single-player video game
http://www.wikidata.org/entity/Q210552,Darwinia,single-player video game
http://www.wikidata.org/entity/Q220960,Diablo,multiplayer video game
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,single-player video game
http://www.wikidata.org/entity/Q211858,DK King of Swing,single-player video game
http://www.wikidata.org/entity/Q222473,Hearts of Iron III,single-player video game
http://www.wikidata.org/entity/Q245749,The Darkness II,single-player video game
http://www.wikidata.org/entity/Q246220,Zzyzzyxx,single-player video game
http://www.wikidata.org/entity/Q247161,Dynasty Warriors 5,single-player video game
http://www.wikidata.org/entity/Q245863,Batman,single-player video game
http://www.wikidata.org/entity/Q235710,Futurama,single-player video game
http://www.wikidata.org/entity/Q211096,Call of Duty,single-player video game
http://www.wikidata.org/entity/Q220665,Space Invaders,multiplayer video game
http://www.wikidata.org/entity/Q216995,Super Mario 64,single-player video game
http://www.wikidata.org/entity/Q217423,Quake,single-player video game
http://www.wikidata.org/entity/Q220174,Zool,single-player video game
http://www.wikidata.org/entity/Q239201,Sub Command,single-player video game
http://www.wikidata.org/entity/Q239889,Hitman: Blood Money,single-player video game
http://www.wikidata.org/entity/Q244140,Angband,single-player video game
http://www.wikidata.org/entity/Q244187,Moria,single-player video game
http://www.wikidata.org/entity/Q245284,Zybex,single-player video game
http://www.wikidata.org/entity/Q247935,Metal Gear Solid 3: Snake Eater,single-player video game
http://www.wikidata.org/entity/Q225912,Kingdom Hearts,single-player video game
http://www.wikidata.org/entity/Q226815,Zorro,single-player video game
http://www.wikidata.org/entity/Q224905,SameGame,
http://www.wikidata.org/entity/Q244160,FAngband,
http://www.wikidata.org/entity/Q244503,ERepublik,
http://www.wikidata.org/entity/Q217423,Quake,cooperative gameplay
http://www.wikidata.org/entity/Q220960,Diablo,single-player video game
